Data;emprego_formal
jan/92;100,91
fev/92;100,55
mar/92;100,19
abr/92;99,9
mai/92;100
jun/92;99,98
jul/92;99,85
ago/92;99,69
set/92;99,7
out/92;99,49
nov/92;99,25
dez/92;98,04
jan/93;98,19
fev/93;98,2
mar/93;98,36
abr/93;98,48
mai/93;99,19
jun/93;99,44
jul/93;99,52
ago/93;99,56
set/93;99,65
out/93;99,7
nov/93;99,52
dez/93;98,46
jan/94;98,61
fev/94;98,56
mar/94;98,78
abr/94;99,12
mai/94;99,54
jun/94;99,9
jul/94;99,94
ago/94;100
set/94;100,33
out/94;100,59
nov/94;100,61
dez/94;99,84
jan/95;99,79
fev/95;100,11
mar/95;100,25
abr/95;100,65
mai/95;101,07
jun/95;101,12
jul/95;100,82
ago/95;100,29
set/95;99,98
out/95;99,78
nov/95;99,44
dez/95;99,25
jan/96;98,96
fev/96;98,84
mar/96;98,67
abr/96;98,95
mai/96;99,44
jun/96;99,69
jul/96;99,73
ago/96;99,67
set/96;99,77
out/96;99,59
nov/96;99,29
dez/96;98
jan/97;97,8
fev/97;97,83
mar/97;98,1
abr/97;98,52
mai/97;99,11
jun/97;99,48
jul/97;99,45
ago/97;99,46
set/97;99,64
out/97;99,68
nov/97;99,38
dez/97;97,84
jan/98;97,45
fev/98;97,35
mar/98;97,3
abr/98;97,64
mai/98;98,04
jun/98;98,12
jul/98;98,02
ago/98;98,12
set/98;98,02
out/98;97,72
nov/98;97,18
dez/98;95,17
jan/99;94,98
fev/99;94,62
mar/99;94,27
abr/99;94,54
mai/99;94,98
jun/99;95,25
jul/99;95,29
ago/99;95,35
set/99;95,38
out/99;95,46
nov/99;95,39
dez/99;94,27
jan/00;94,41
fev/00;94,82
mar/00;95
abr/00;95,57
mai/00;96,32
jun/00;96,98
jul/00;97,46
ago/00;97,83
set/00;98,25
out/00;98,32
nov/00;98,32
dez/00;97,29
jan/01;97,51
fev/01;97,88
mar/01;98,04
abr/01;98,68
mai/01;99,42
jun/01;99,92
jul/01;100,25
ago/01;100,47
set/01;100,83
out/01;101,19
nov/01;101,17
dez/01;100
jan/02;100,2
fev/02;100,58
mar/02;100,99
abr/02;101,8
mai/02;102,51
jun/02;103,12
jul/02;103,41
ago/02;103,76
set/02;104,53
out/02;104,7
nov/02;104,64
dez/02;103,5
jan/03;103,66
fev/03;104,05
mar/03;104,14
abr/03;104,85
mai/03;105,5
jun/03;106,07
jul/03;106,24
ago/03;106,61
set/03;107,35
out/03;107,68
nov/03;107,84
dez/03;106,46
jan/04;107,05
fev/04;107,81
mar/04;108,39
abr/04;109,36
mai/04;110,83
jun/04;111,91
jul/04;112,98
ago/04;114,15
set/04;115,24
out/04;115,93
nov/04;116,37
dez/04;114,71
jan/05;115,4
fev/05;115,85
mar/05;116,45
abr/05;117,85
mai/05;118,98
jun/05;120,01
jul/05;120,67
ago/05;121,41
set/05;122,46
out/05;123,08
nov/05;123,21
dez/05;121,87
jan/06;122,42
fev/06;123,38
mar/06;123,86
abr/06;125,11
mai/06;126,18
jun/06;127,04
jul/06;127,89
ago/06;128,61
set/06;129,57
out/06;130,25
nov/06;130,47
dez/06;128,98
jan/07;129,63
fev/07;130,44
mar/07;131,22
abr/07;132,79
mai/07;133,91
jun/07;134,87
jul/07;135,59
ago/07;136,34
set/07;137,68
out/07;138,75
nov/07;139,41
dez/07;137,9
jan/08;138,71
fev/08;139,79
mar/08;140,83
abr/08;142,33
mai/08;143,37
jun/08;144,96
jul/08;146,02
ago/08;147,26
set/08;148,68
out/08;149,05
nov/08;148,93
dez/08;145,74
jan/09;145,43
fev/09;145,65
mar/09;145,96
abr/09;146,61
mai/09;147,39
jun/09;148,08
jul/09;148,88
ago/09;150,17
set/09;151,55
out/09;152,81
nov/09;154,11
dez/09;152,15
jan/10;153,25
fev/10;154,44
mar/10;155,92
abr/10;157,52
mai/10;159,13
jun/10;160,31
jul/10;161,32
ago/10;162,96
set/10;164,32
out/10;165,43
nov/10;166,15
dez/10;164,22
jan/11;165,15
fev/11;166,74
mar/11;167,32
abr/11;168,78
mai/11;170,1
jun/11;171,27
jul/11;172,09
ago/11;173,15
set/11;174,3
out/11;175,03
nov/11;175,37
dez/11;173,52
jan/12;174,35
fev/12;175,27
mar/12;176,03
abr/12;177,24
mai/12;178,14
jun/12;178,89
jul/12;179,73
ago/12;180,44
set/12;181,37
out/12;181,78
nov/12;182,13
dez/12;179,82
jan/13;180,17
fev/13;180,94
mar/13;181,78
abr/13;182,96
mai/13;183,47
jun/13;184,19
jul/13;184,53
ago/13;185,27
set/13;186,46
out/13;187,06
nov/13;187,38
dez/13;185,05
jan/14;185,34
fev/14;186,72
mar/14;186,88
abr/14;187,49
mai/14;187,89
jun/14;188,12
jul/14;188,26
ago/14;188,86
set/14;189,64
out/14;189,56
nov/14;189,65
dez/14;186,98
jan/15;186,69
fev/15;186,75
mar/15;186,92
abr/15;186,53
mai/15;186,03
jun/15;185,57
jul/15;184,89
ago/15;184,53
set/15;184,13
out/15;183,37
nov/15;182,75
dez/15;179,93
jan/16;179,51
fev/16;179,07
mar/16;178,54
abr/16;178,28
mai/16;177,98
jun/16;177,58
jul/16;177,19
ago/16;177,09
set/16;176,94
out/16;176,58
nov/16;176,04
dez/16;173,84
jan/17;173,7
fev/17;173,93
mar/17;173,66
abr/17;174,01
mai/17;174,21
jun/17;174,29
jul/17;174,52
ago/17;174,75
set/17;174,97
out/17;175,37
nov/17;175,35
dez/17;173,79
jan/18;174,21
fev/18;174,56
mar/18;174,9
abr/18;175,51
mai/18;175,71
jun/18;175,74
jul/18;176,01
ago/18;176,58
set/18;177,27
out/18;177,58
nov/18;177,87
dez/18;176,3
jan/19;176,5
fev/19;177,38
mar/19;177,2
abr/19;177,83
mai/19;178,01
jun/19;178,29
jul/19;178,52
ago/19;179,11
set/19;179,85
out/19;180,19
nov/19;180,65
